Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,BWH,BWD,BWA,IWH,IWD,IWA,,,
E0,01-01-2019,Cardiff,Tottenham,0,3,A,0,3,A,K Friend,6,13,3,4,6,6,5,3,1,0,0,0,7.25,4.6,1.44,6.7,4.7,1.45,,,
E0,01-01-2019,Everton,Leicester,0,1,A,0,0,D,M Atkinson,17,8,2,4,5,8,6,5,3,1,0,0,2.05,3.4,3.75,2.05,3.4,3.7,,,
E0,02-01-2019,Bournemouth,Watford,3,3,D,3,3,D,D Coote,25,11,12,3,9,15,4,2,1,4,0,0,2.5,3.5,2.75,2.5,3.5,2.75,,,
E0,02-01-2019,Chelsea,Southampton,0,0,D,0,0,D,J Moss,17,6,6,2,8,11,7,2,1,2,0,0,1.28,5.75,10.5,1.33,5.5,8.5,,,
E0,02-01-2019,Huddersfield,Burnley,1,2,A,1,1,D,M Dean,9,16,2,8,11,9,5,2,0,4,1,1,2.15,3.1,3.8,2.1,3.1,3.85,,,
E0,02-01-2019,Newcastle,Man United,0,2,A,0,0,D,A Marriner,14,16,3,7,10,9,1,2,1,2,0,0,6,4,1.57,5.6,4.25,1.57,,,
E0,02-01-2019,West Ham,Brighton,2,2,D,0,0,D,C Kavanagh,13,13,6,6,9,11,1,5,0,1,0,0,1.95,3.5,3.9,1.9,3.5,4.1,,,
E0,02-01-2019,Wolves,Crystal Palace,0,2,A,0,0,D,R East,9,17,1,4,9,7,3,10,4,1,0,0,2,3.25,4.1,1.97,3.3,4.05,,,
E0,03-01-2019,Man City,Liverpool,2,1,H,1,0,H,A Taylor,9,7,4,5,12,7,2,1,4,2,0,0,2.05,3.8,3.3,2.1,3.6,3.35,,,
E0,12-01-2019,Brighton,Liverpool,0,1,A,0,0,D,K Friend,7,10,0,3,15,5,2,7,0,0,0,0,10,5.5,1.3,8,5.3,1.35,,,
E0,12-01-2019,Burnley,Fulham,2,1,H,2,1,H,M Atkinson,11,12,0,4,5,9,2,6,1,2,0,0,2.35,3.2,3.2,2.35,3.25,3.15,,,
E0,12-01-2019,Cardiff,Huddersfield,0,0,D,0,0,D,L Mason,3,14,0,2,12,14,3,10,3,1,0,0,2.2,3.1,3.6,2.2,3.1,3.6,,,
E0,12-01-2019,Chelsea,Newcastle,2,1,H,1,1,D,C Kavanagh,10,9,6,2,6,13,8,5,1,1,0,0,1.22,6.25,13.5,1.25,6.1,11,,,
E0,12-01-2019,Crystal Palace,Watford,1,2,A,1,0,H,P Tierney,15,16,6,2,11,11,7,7,1,4,0,0,2.2,3.3,3.4,2.2,3.3,3.4,,,
E0,12-01-2019,Leicester,Southampton,1,2,A,0,2,A,M Oliver,23,8,6,3,7,9,10,3,2,1,0,1,1.91,3.5,4.1,1.9,3.5,4.2,,,
E0,12-01-2019,West Ham,Arsenal,1,0,H,0,0,D,J Moss,11,11,3,2,7,10,7,3,0,2,0,0,3.5,3.75,2,3.4,3.5,2.1,,,
E0,13-01-2019,Everton,Bournemouth,2,0,H,0,0,D,A Taylor,15,16,3,7,17,8,5,9,5,0,0,0,1.75,3.9,4.6,1.8,3.7,4.4,,,
E0,13-01-2019,Tottenham,Man United,0,1,A,0,1,A,M Dean,21,13,11,8,8,8,7,4,1,2,0,0,2.05,3.6,3.5,2.15,3.4,3.4,,,
E0,14-01-2019,Man City,Wolves,3,0,H,2,0,H,C Pawson,24,3,9,0,6,3,12,1,1,0,0,1,1.18,7.5,14,1.2,7,13,,,
